id,name,city,zipcode,membersCount,lat,lng
409,En-marche-Neuville_Saint_Vaast-409,Neuville_Saint_Vaast,62580,7,50.3566,2.8445
410,En-marche-Argeles_Gazost-410,Argeles_Gazost,65400,1,42.9667,-0.1667
411,En-marche-Rivesaltes-411,Rivesaltes,66600,4,42.7694,2.8724
412,Intelligence collective,Wissembourg,67160,1,49.023,7.9086
413,En-marche-Guebwiller-413,Guebwiller,68500,8,47.9167,7.2
414,La Rochette-Coeur de Savoie,La_Rochette,73110,7,45.4562,6.11968
415,En-marche-Drumettaz-415,Drumettaz,73420,3,45.6339,5.9023
416,En-marche-Bolbec,BOLBEC,76210,9,49.5727,0.46785
417,En-marche-Saint_Etienne_du_Rouvray-417,Saint_Etienne_du_Rouvray,76800,1,49.3779,1.1047
418,En-marche-Mareuil-Nanteuil-les-Meaux,Mareuil-les-Meaux - Nanteuil-les-Meaux,77100,4,48.9266,2.85982
419,En-marche-Avon -et Environs- 419,Avon,77210,14,48.4169,2.72536
420,En-marche-Chamigny-420,Chamigny,77260,1,48.9934,3.1724
421,En-marche-Chessy-val-d'europe,Chessy,77700,24,48.8803,2.7633
